Round,Sparsity
1,0.2674
2,0.1541
3,0.1735
4,0.2717
5,0.1874
6,0.2093
7,0.1762
8,0.2206
9,0.2217
10,0.2035
11,0.2083
12,0.25
13,0.1794
14,0.1956
15,0.1701
16,0.2016
17,0.2185
18,0.28
19,0.3751
20,0.3092
21,0.2091
22,0.1668
23,0.321
24,0.2447
25,0.1665
26,0.2366
27,0.2561
28,0.2062
29,0.2217
30,0.3051
31,0.2018
32,0.2042
33,0.2792
34,0.1757
35,0.199
36,0.2765
37,0.1782
38,0.1753
39,0.1539
40,0.2308
41,0.158
42,0.333
43,0.2758
44,0.2441
45,0.1508
46,0.1701
47,0.2041
48,0.1841
49,0.2716
50,0.2659
51,0.2873
52,0.2034
53,0.2367
54,0.1835
55,0.1793
56,0.2117
57,0.1764
58,0.2561
59,0.207
60,0.2823
61,0.1582
62,0.3589
63,0.2153
64,0.1885
65,0.2346
66,0.1584
67,0.1583
68,0.1853
69,0.1699
70,0.232
71,0.2307
72,0.1709
73,0.191
74,0.1919
75,0.2234
76,0.1833
77,0.174
78,0.2362
79,0.2263
80,0.2201
81,0.1878
82,0.1953
83,0.258
84,0.1665
85,0.2158
86,0.2444
87,0.1737
88,0.1997
89,0.2473
90,0.2697
91,0.2018
92,0.1543
93,0.279
94,0.1714
95,0.1893
96,0.2795
97,0.1886
98,0.1977
99,0.2185
100,0.2618
101,0.1719
102,0.1721
103,0.2348
104,0.1578
105,0.2504
106,0.2713
107,0.2643
108,0.1901
109,0.206
110,0.2956
111,0.337
112,0.1883
113,0.1885
114,0.197
115,0.2321
116,0.1822
117,0.286
118,0.1956
119,0.2723
120,0.1567
121,0.2037
122,0.2339
123,0.2964
124,0.2114
125,0.1788
126,0.1751
127,0.1921
128,0.1687
129,0.2091
130,0.1996
131,0.18
132,0.3448
133,0.2049
134,0.2161
135,0.3031
136,0.2089
137,0.2143
138,0.2214
139,0.3545
140,0.2122
141,0.2511
142,0.3719
143,0.1746
144,0.215
145,0.2033
146,0.1861
147,0.2199
148,0.2
149,0.1908
150,0.1481
151,0.29
152,0.2742
153,0.3399
154,0.2418
155,0.3011
156,0.232
157,0.2911
158,0.2406
159,0.1649
160,0.2499
161,0.2467
162,0.179
163,0.1958
164,0.1917
165,0.2131
166,0.2877
167,0.2273
168,0.1716
169,0.1553
170,0.2161
171,0.2644
172,0.2672
173,0.1632
174,0.1946
175,0.2119
176,0.184
177,0.2526
178,0.1911
179,0.167
180,0.1609
181,0.2897
182,0.2603
183,0.2209
184,0.2311
185,0.1503
186,0.2715
187,0.1925
188,0.2698
189,0.2407
190,0.2023
191,0.3269
192,0.2003
193,0.1682
194,0.2086
195,0.2352
196,0.2067
197,0.2576
198,0.2072
199,0.2605
200,0.2544
