Round,Aggregated Test Loss,Aggregated Test Acc
1,5.2937,0.0584
2,5.4138,0.0788
3,5.1269,0.0928
4,3.8004,0.1425
5,4.4437,0.129
6,3.7208,0.177
7,3.8064,0.1988
8,3.6359,0.1887
9,4.1797,0.1708
10,4.7811,0.1521
11,4.1878,0.1967
12,4.2625,0.2055
13,4.8855,0.172
14,4.712,0.2042
15,4.6813,0.2172
16,4.5751,0.2081
17,4.6775,0.2087
18,4.7962,0.2039
19,4.6467,0.2025
20,4.546,0.2088
21,5.3235,0.2071
22,5.1663,0.2038
23,6.8936,0.1784
24,7.1716,0.1726
25,6.4376,0.1908
26,6.9199,0.1847
27,5.2275,0.2059
28,5.3611,0.2004
29,7.5899,0.183
30,7.9662,0.1744
31,6.9491,0.1938
32,11.99,0.1524
33,6.1081,0.1918
34,5.8024,0.2058
35,5.7319,0.2017
36,5.8691,0.1946
37,5.1997,0.2176
38,5.1257,0.2123
39,5.3873,0.205
40,5.2454,0.2133
41,4.3749,0.2443
42,4.4154,0.2397
43,6.0243,0.2032
44,6.353,0.2013
45,6.9623,0.1834
46,5.474,0.2129
47,6.246,0.1923
48,6.4141,0.1894
49,6.3665,0.1881
50,6.1317,0.196
51,6.2172,0.1976
52,6.2254,0.1957
53,7.8215,0.1659
54,6.7137,0.1838
55,4.9542,0.2303
56,5.4912,0.215
57,5.7401,0.206
58,5.9913,0.2012
59,6.5938,0.1849
60,7.0828,0.1797
61,7.0656,0.1798
62,6.5911,0.1857
63,5.6374,0.2079
64,6.6117,0.1889
65,7.9582,0.1753
66,8.1794,0.1764
67,7.0194,0.1795
68,7.0955,0.1789
69,6.578,0.1793
70,5.7849,0.2053
71,6.0396,0.1991
72,6.9694,0.176
73,7.8538,0.1675
74,6.7761,0.1907
75,6.4674,0.186
76,6.7857,0.1749
77,7.6582,0.1606
78,6.6324,0.1779
79,7.6727,0.1709
80,8.2366,0.1661
81,7.2151,0.1739
82,6.7384,0.1774
83,6.9032,0.1695
84,5.9696,0.1933
85,6.61,0.1793
86,6.3956,0.1949
87,6.6292,0.1917
88,6.8206,0.1814
89,6.9526,0.1811
90,6.8428,0.1819
91,6.3014,0.1951
92,6.7395,0.1873
93,7.4337,0.1851
94,7.1319,0.1825
95,6.5672,0.1863
96,6.8037,0.1811
97,7.1601,0.1737
98,7.5552,0.1701
99,7.4912,0.1692
100,7.3458,0.1702
101,7.9641,0.1596
102,6.3683,0.1897
103,6.5339,0.1857
104,7.0258,0.1769
105,6.5703,0.1865
106,6.6633,0.1867
107,7.2823,0.1759
108,7.4328,0.1722
109,7.427,0.1667
110,8.7585,0.1515
111,8.2908,0.1575
112,8.3632,0.1582
113,9.2589,0.1487
114,9.536,0.1467
115,7.0279,0.1711
116,7.2281,0.1705
117,7.8506,0.1592
118,6.9562,0.1677
119,7.9167,0.1556
120,9.5783,0.1394
121,10.4274,0.1329
122,7.1334,0.164
123,8.9169,0.1465
124,8.367,0.1516
125,6.978,0.1768
126,7.571,0.1635
127,10.1448,0.1367
128,10.6249,0.1323
129,8.2565,0.1536
130,8.54,0.1499
131,7.5355,0.1686
132,7.9797,0.1641
133,8.0889,0.1648
134,9.2348,0.1425
135,7.3826,0.1649
136,7.935,0.1555
137,7.9389,0.1676
138,9.4164,0.1584
139,7.7929,0.1672
140,8.5206,0.1583
141,8.7902,0.154
142,8.0477,0.1593
143,8.2704,0.1572
144,7.4556,0.1623
145,7.8406,0.1575
146,8.0592,0.1537
147,8.3599,0.1489
148,8.6987,0.1497
149,7.2971,0.1631
150,7.6481,0.1584
151,7.8193,0.1596
152,7.4189,0.164
153,8.5866,0.1601
154,10.1594,0.1484
155,10.7017,0.1414
156,7.5629,0.1679
157,7.8469,0.1615
158,7.1399,0.1787
159,7.5827,0.1693
160,7.4467,0.1636
161,7.4638,0.1609
162,7.523,0.1663
163,7.7124,0.1651
164,7.2733,0.1642
165,8.2378,0.1609
166,8.2829,0.1519
167,7.1032,0.169
168,7.3657,0.1626
169,7.6129,0.1667
170,7.1654,0.1715
171,7.7439,0.1594
172,7.0022,0.1743
173,7.186,0.172
174,7.4445,0.167
175,8.3576,0.1562
176,7.898,0.1597
177,7.8444,0.1551
178,8.3006,0.1494
179,7.1449,0.1711
180,7.21,0.1682
181,7.6823,0.1621
182,7.7803,0.1596
183,7.7131,0.1661
184,7.7776,0.1617
185,7.7393,0.1613
186,7.8947,0.1594
187,7.3925,0.1652
188,7.7684,0.1594
189,8.1374,0.1553
190,8.1224,0.1636
191,10.1873,0.145
192,8.6503,0.1589
193,8.163,0.1603
194,8.4828,0.157
195,8.6276,0.1553
196,7.1445,0.1675
197,7.593,0.1605
198,7.5295,0.1589
199,7.7057,0.1568
200,7.5855,0.1659
201,8.4063,0.1586
202,8.0633,0.1594
203,8.416,0.1566
204,8.5629,0.1553
205,8.7491,0.1535
206,8.2976,0.1554
207,8.4009,0.1551
208,7.6921,0.1639
209,7.4551,0.1669
210,7.5958,0.161
211,7.9885,0.1598
212,8.1539,0.1546
213,8.7534,0.1486
214,8.7711,0.1487
215,8.9777,0.1465
216,9.3455,0.1436
217,9.4579,0.1414
218,7.9635,0.1593
219,7.9074,0.1623
220,8.1945,0.1584
221,7.6766,0.1594
222,7.4556,0.1609
223,7.9895,0.1582
224,8.8561,0.1442
225,9.325,0.1389
226,10.2589,0.1249
227,7.9228,0.1467
228,7.5754,0.1535
229,7.8175,0.1592
230,8.034,0.1588
231,7.8569,0.1611
232,7.6172,0.1675
233,7.7124,0.1646
234,8.2064,0.1563
235,9.9224,0.1368
236,7.8424,0.1618
237,8.3188,0.1558
238,8.7038,0.1522
239,10.4003,0.14
240,7.6554,0.1619
241,7.8022,0.1607
242,9.5232,0.1473
243,8.822,0.1471
244,8.8031,0.149
245,7.8264,0.1542
246,8.7982,0.1475
247,9.0955,0.1435
248,7.5458,0.1579
249,7.8917,0.1528
250,7.6383,0.1584
251,9.0557,0.152
252,8.6487,0.1525
253,8.7285,0.1511
254,7.8765,0.1519
255,7.9815,0.1484
256,8.0023,0.1463
257,9.0566,0.1423
258,8.0442,0.15
259,8.3239,0.1459
260,7.9059,0.1456
261,8.0723,0.1411
262,9.2047,0.1298
263,9.375,0.1281
264,9.492,0.1233
265,8.5245,0.1389
266,7.8387,0.1525
267,8.0754,0.1504
268,8.6598,0.1477
269,8.6481,0.1475
270,8.7649,0.1455
271,9.0871,0.1408
272,8.2711,0.1468
273,7.4182,0.158
274,7.6977,0.1556
275,8.1259,0.1457
276,7.9082,0.1539
277,7.8223,0.1569
278,8.9102,0.1427
279,9.249,0.1395
280,9.3911,0.1371
281,8.0337,0.1509
282,8.4787,0.1502
283,9.5036,0.1376
284,8.6495,0.1436
285,8.4361,0.1498
286,8.369,0.149
287,8.825,0.1452
288,8.8909,0.1434
289,8.5516,0.1471
290,7.717,0.1563
291,8.2794,0.146
292,8.5807,0.1453
293,8.5017,0.1554
294,7.5436,0.1567
295,7.7834,0.1529
296,8.0234,0.1505
297,8.069,0.1476
298,7.8539,0.1526
299,8.305,0.1474
300,8.3244,0.1456
